t,x,v,a,id,length,lane,oldLane,pos,event
58.0,1104.08,48.4753,-0.028370451934127676,2,5,3,,104.08,timer
58.0,554.31,47.5808,0.02199646451037397,3,4,2,,554.31,timer
58.0,4.37,47.8459,-5.035272764326255e-05,4,4,7,,4.37,timer
58.0,4.37,47.8459,-5.035272764326255e-05,4,4,7,,4.37,change slow
58.0,4.37,47.8459,-5.035272764326255e-05,4,4,0,7,4.37,enter lane
60.0,1755.05,47.882,-0.029209212553867287,1,4,3,,755.05,timer
60.0,1200.97,48.4186,-0.028370451934127676,2,5,3,,200.97,timer
60.0,649.52,47.6248,0.02199646451037397,3,4,2,,649.52,timer
60.0,102.06,49.8459,1,4,4,0,7,102.06,timer
61.0,152.41,50.8459,1,4,4,0,7,152.41,leave lane
61.0,152.41,50.8459,1,4,4,0,,152.41,done change slow
62.0,1850.76,47.8236,-0.029209212553867287,1,4,3,,850.76,timer
62.0,1297.75,48.3619,-0.028370451934127676,2,5,3,,297.75,timer
62.0,744.82,47.6688,0.02199646451037397,3,4,2,,744.82,timer
62.0,203.25,50.8429,-0.00604654875660224,4,4,0,,203.25,timer
62.0,203.25,50.8429,-0.00604654875660224,4,4,0,,203.25,change slow
62.0,203.25,50.8429,-0.00604654875660224,4,4,2,0,203.25,enter lane
64.0,1946.35,47.7652,-0.029209212553867287,1,4,3,,946.35,timer
64.0,1394.42,48.3052,-0.028370451934127676,2,5,3,,394.42,timer
64.0,840.2,47.7128,0.02199646451037397,3,4,2,,840.2,timer
64.0,306.94,52.8429,1,4,4,2,0,306.94,timer
65.0,360.28,53.8429,1,4,4,2,0,360.28,leave lane
65.0,360.28,53.8429,1,4,4,2,,360.28,done change slow
66.0,2041.82,47.7068,-0.029209212553867287,1,4,3,,1041.82,leave lane
66.0,2041.82,47.7068,-0.029209212553867287,1,4,,,1041.82,end
66.0,1490.97,48.2485,-0.028370451934127676,2,5,3,,490.97,timer
66.0,935.67,47.7568,0.02199646451037397,3,4,2,,935.67,timer
66.0,414.12,53.8418,-0.0022462031310554434,4,4,2,,414.12,timer
68.0,1587.41,48.1918,-0.028370451934127676,2,5,3,,587.41,timer
68.0,1031.23,47.8008,0.02199646451037397,3,4,2,,1031.23,leave lane
68.0,1031.23,47.8008,0.02199646451037397,3,4,3,,31.230000000000018,enter lane
68.0,1031.23,47.8008,0.02199646451037397,3,4,3,,31.230000000000018,timer
68.0,521.8,53.8328,-0.006738609393166331,4,4,2,,521.8,timer
69.49052329922725,0,45.679507293723304,0,5,4,2,,0,enter lane
70.0,1683.74,48.1351,-0.028370451934127676,2,5,3,,683.74,timer
70.0,1126.88,47.8448,0.02199646451037397,3,4,3,,126.88,timer
70.0,629.45,53.8149,-0.011231015655277217,4,4,2,,629.45,timer
70.0,23.27,45.6794,-0.00030198164686792,5,4,2,,23.27,timer
72.0,1779.95,48.0784,-0.028370451934127676,2,5,3,,779.95,timer
72.0,1222.61,47.8888,0.02199646451037397,3,4,3,,222.61,timer
72.0,737.05,53.7879,-0.015723421917388104,4,4,2,,737.05,timer
72.0,114.63,45.6776,-0.0014874397705068928,5,4,2,,114.63,timer
74.0,1876.05,48.0217,-0.028370451934127676,2,5,3,,876.05,timer
74.0,1318.43,47.9328,0.02199646451037397,3,4,3,,318.43,timer
74.0,844.59,53.752,-0.02021582817949899,4,4,2,,844.59,timer
74.0,205.98,45.6734,-0.0026728978941458655,5,4,2,,205.98,timer
76.0,1972.04,47.965,-0.028370451934127676,2,5,3,,972.04,timer
76.0,1414.34,47.9768,0.02199646451037397,3,4,3,,414.34,timer
76.0,952.05,53.7071,-0.024708234441609876,4,4,2,,952.05,timer
76.0,297.32,45.6669,-0.003858356017784838,5,4,2,,297.32,timer
78.0,2067.91,47.9083,-0.028370451934127676,2,5,3,,1067.91,leave lane
78.0,2067.91,47.9083,-0.028370451934127676,2,5,,,1067.91,end
78.0,1510.34,48.0208,0.02199646451037397,3,4,3,,510.34,timer
78.0,1059.41,53.6532,-0.029200640703720762,4,4,2,,1059.41,leave lane
78.0,1059.41,53.6532,-0.029200640703720762,4,4,3,,59.41000000000008,enter lane
78.0,1059.41,53.6532,-0.029200640703720762,4,4,3,,59.41000000000008,timer
78.0,388.65,45.6586,-0.004241734964646949,5,4,2,,388.65,timer
80.0,1606.43,48.0648,0.02199646451037397,3,4,3,,606.43,timer
80.0,1166.66,53.5903,-0.03369304696583165,4,4,3,,166.66,timer
80.0,479.96,45.6501,-0.004241734964646949,5,4,2,,479.96,timer
81.07227718243179,0,44.245896612838465,0,6,5,0,,0,enter lane
82.0,1702.6,48.1088,0.02199646451037397,3,4,3,,702.6,timer
82.0,1273.77,53.5184,-0.038185453227942534,4,4,3,,273.77,timer
82.0,571.25,45.6417,-0.004241734964646949,5,4,2,,571.25,timer
82.0,41.05,44.2488,0.006151568509350996,6,5,0,,41.05,timer
82.0,41.05,44.2488,0.006151568509350996,6,5,0,,41.05,change slow
82.0,41.05,44.2488,0.006151568509350996,6,5,2,0,41.05,enter lane
84.0,1798.86,48.1528,0.02199646451037397,3,4,3,,798.86,timer
84.0,1380.73,53.4383,-0.040779819567594196,4,4,3,,380.73,timer
84.0,662.52,45.6332,-0.004241734964646949,5,4,2,,662.52,timer
84.0,131.55,46.2488,1,6,5,2,0,131.55,timer
85.0,178.3,47.2488,1,6,5,2,0,178.3,leave lane
85.0,178.3,47.2488,1,6,5,2,,178.3,done change slow
86.0,1895.21,48.1968,0.02199646451037397,3,4,3,,895.21,timer
86.0,1487.53,53.3567,-0.040779819567594196,4,4,3,,487.53,timer
86.0,753.78,45.6248,-0.004241734964646949,5,4,2,,753.78,timer
86.0,225.55,47.2448,-0.007998620264248512,6,5,2,,225.55,timer
88.0,1991.65,48.2408,0.02199646451037397,3,4,3,,991.65,timer
88.0,1594.16,53.2751,-0.040779819567594196,4,4,3,,594.16,timer
